Temp,Group,SGR_WW
28,CNS,0.081728139
28,CNS,0.155483074
28,CNS,-0.019049485
28,CNS,0.404925146
28,CNS,0.03065912
28,CNS,0.314664153
28,CNS,0.144868957
28,CNS,0.01331875
28,CNS,0.150411644
28,CNS,0.138097216
28,CNS,0.047777521
28,CNS,0.06769091
28,CNS,-0.039801044
28,CNS,-0.120873615
28,CNS,0.120221202
28,CNS,-0.084890034
28,CNS,0.260837486
28,CNS,0.089621761
28,CNS,-0.073562796
28,CNS,0.276138372
28,CNS,0.231997588
28,CNS,0.064509865
28,CNS,0.005367728
28,CNS,-0.046733537
28,CNS,0.225975702
28,CNS,0.143949278
28,CNS,0.201459635
28,CNS,0.278235515
28,CNS,0.027843256
28,CNS,0.004229372
28,CNS,0.233223484
28,CNS,0.21707972
28,CNS,0.309297403
28,CNS,0.1278072
28,CNS,0.147692858
28,CNS,0.260970513
28,CNS,0.158753969
28,CNS,0.086459275
28,CNS,0.415868344
28,CNS,0.12396864
28,CNS,0.229269642
28,CNS,0.053843276
28,CNS,0.148030139
28,CNS,0.414669951
28,CNS,0.225258393
28,CNS,0.339990985
28,CNS,0.261821293
28,CNS,-0.002770856
28,CNS,0.233900038
28,CNS,-0.073637031
28,CNS,0.21646745
28,CNS,0.35566313
28,CNS,0.273658681
28,CNS,0.18435805
28,CNS,0.334168106
28,CNS,0.325729175
28,CNS,0.589296445
28,CNS,0.154239854
26,CNS,0.238909094
26,CNS,0.172160421
26,CNS,0.220406349
26,CNS,0.241349253
26,CNS,0.196969454
26,CNS,0.34554335
26,CNS,0.256806925
26,CNS,0.066039871
26,CNS,0.326351525
26,CNS,0.443739105
26,CNS,0.449342814
26,CNS,0.320950563
26,CNS,0.011770685
26,CNS,0.273407495
26,CNS,0.055601921
26,CNS,0.192797953
26,CNS,0.442768327
26,CNS,0.372063329
26,CNS,0.278632743
26,CNS,0.411250917
26,CNS,0.162931385
26,CNS,0.372960074
26,CNS,0.297795324
26,CNS,0.414994674
26,CNS,0.17734442
26,CNS,0.315376507
26,CNS,0.166084733
26,CNS,0.411911772
26,CNS,0.17943827
26,CNS,0.551051929
26,CNS,0.429423113
26,CNS,0.693312755
26,CNS,0.077429816
26,CNS,0.285588476
26,CNS,0.512032954
26,CNS,0.318564847
26,CNS,0.310710004
26,CNS,0.646710332
26,CNS,0.215941531
26,CNS,0.055109058
26,CNS,0.597766002
26,CNS,0.397029659
26,CNS,0.38030482
26,CNS,0.359016812
26,CNS,0.494278488
26,CNS,0.368586328
26,CNS,0.39818107
26,CNS,0.410676962
26,CNS,0.394352277
26,CNS,0.540517228
26,CNS,0.495019786
26,CNS,0.369057671
26,CNS,0.389976561
26,CNS,0.395483962
26,CNS,0.204889513
26,CNS,0.354607175
26,CNS,0.400131596
26,CNS,0.473305564
26,CNS,0.324562498
26,CNS,0.416923132
26,CNS,0.529909891
26,CNS,0.441978992
26,CNS,0.514992234
26,CNS,0.550927829
26,CNS,0.283160341
26,CNS,0.302008581
26,CNS,0.341089691
26,CNS,0.561716165
26,CNS,0.413073467
26,CNS,0.365071601
26,CNS,0.232582613
26,CNS,-0.026499476
26,CNS,0.445228031
24,CNS,0.296002517
24,CNS,0.493819582
24,CNS,0.638123727
24,CNS,0.572718953
24,CNS,0.494606643
24,CNS,0.429122423
24,CNS,0.400034356
24,CNS,0.437284985
24,CNS,0.302479991
24,CNS,0.335501927
24,CNS,0.480164132
24,CNS,0.299618504
24,CNS,0.449662743
24,CNS,0.581270261
24,CNS,0.357134611
24,CNS,0.547054868
24,CNS,0.545761819
24,CNS,0.504688198
24,CNS,0.386918316
24,CNS,0.38197983
24,CNS,0.650453191
24,CNS,0.350824341
24,CNS,0.553998539
24,CNS,NA
24,CNS,0.424614945
24,CNS,0.471047543
24,CNS,0.517413557
24,CNS,0.510811281
24,CNS,0.343019644
24,CNS,0.456655585
24,CNS,0.393661946
24,CNS,0.419243906
24,CNS,0.507296327
24,CNS,0.41370248
24,CNS,0.331143589
24,CNS,0.234574803
24,CNS,0.582427997
24,CNS,0.393796543
24,CNS,0.587776428
24,CNS,0.601659428
24,CNS,0.409689667
24,CNS,0.40415851
24,CNS,0.442074316
24,CNS,0.394730937
24,CNS,0.434826911
24,CNS,0.531839904
24,CNS,0.31281566
24,CNS,0.483611532
24,CNS,0.437274316
24,CNS,0.259153494
24,CNS,0.565503706
26,CNS,0.196200001
24,CNS,0.547715575
24,CNS,0.416196031
24,CNS,0.581308612
24,CNS,0.370364203
24,CNS,0.540392546
24,CNS,0.709666818
24,CNS,0.352843633
24,CNS,0.441809435
24,CNS,0.353181182
24,CNS,0.688839659
24,CNS,0.46125139
22,CNS,0.535088703
22,CNS,0.284136972
22,CNS,0.520103985
22,CNS,0.398469296
22,CNS,0.232378596
22,CNS,0.493429259
22,CNS,0.146159676
22,CNS,0.194759212
22,CNS,0.507464075
22,CNS,0.545861229
22,CNS,0.342306704
22,CNS,0.340365398
22,CNS,0.462830949
22,CNS,0.442218201
22,CNS,0.327938775
22,CNS,0.511788914
22,CNS,0.176479391
22,CNS,0.441043015
22,CNS,0.292273942
22,CNS,0.160257232
22,CNS,0.522331252
22,CNS,0.407598423
22,CNS,0.525568518
22,CNS,0.287727892
22,CNS,0.086380502
22,CNS,0.45300887
22,CNS,0.32132974
22,CNS,0.525838408
22,CNS,0.323612576
22,CNS,0.545934901
22,CNS,0.524326656
22,CNS,0.081858355
22,CNS,0.65785753
22,CNS,0.370062616
22,CNS,0.307691906
22,CNS,0.445503428
22,CNS,0.500910253
22,CNS,0.378029034
22,CNS,0.352631344
22,CNS,0.485065867
22,CNS,0.607520075
22,CNS,0.555636135
22,CNS,0.538710336
22,CNS,0.446358417
22,CNS,0.499017925
22,CNS,0.329682862
22,CNS,0.428011879
22,CNS,0.657650054
22,CNS,0.586335297
22,CNS,0.294407358
22,CNS,0.46911131
22,CNS,0.477368188
22,CNS,0.394341241
22,CNS,0.099633849
22,CNS,0.494242165
22,CNS,0.332076109
22,CNS,0.416707287
22,CNS,0.541138648
22,CNS,0.794697365
22,CNS,0.632664592
22,CNS,0.634965913
22,CNS,0.900603872
22,CNS,0.542107932
22,CNS,0.403515958
22,CNS,0.529060573
22,CNS,0.076365481
22,CNS,0.503259008
22,CNS,0.482798804
22,CNS,0.56333678
20,CNS,0.504233421
20,CNS,0.300463555
20,CNS,0.199471076
20,CNS,0.244878767
20,CNS,0.733294229
20,CNS,0.56900988
20,CNS,0.645826692
20,CNS,0.648970566
20,CNS,0.359549933
20,CNS,0.416836441
20,CNS,0.378688652
20,CNS,0.397144967
20,CNS,0.147645645
20,CNS,0.463728192
20,CNS,0.436400278
20,CNS,0.505613463
20,CNS,0.265403153
20,CNS,0.21036325
20,CNS,0.381007481
20,CNS,0.486604507
20,CNS,0.671917928
20,CNS,0.459145088
20,CNS,0.499819275
20,CNS,0.191638014
20,CNS,0.265982182
20,CNS,0.398217672
20,CNS,0.466962804
20,CNS,0.448876822
20,CNS,0.092420948
20,CNS,0.410989665
20,CNS,0.547839936
20,CNS,0.577045483
20,CNS,0.477016763
20,CNS,0.496700872
20,CNS,0.583712601
20,CNS,0.420410157
20,CNS,0.316821385
20,CNS,0.377563986
